State,Area Codes,Extension
Alabama,"205, 251, 256, 334, 938",1000
Alaska,907,1001
Arizona,"480, 520, 602, 623, 928",1002
Arkansas,"479, 501, 870",1003
California,"209, 213, 279, 310, 323, 408, 415, 424, 442, 510, 530, 559, 562, 619, 626, 628, 650, 657, 661, 669, 707, 714, 747, 760, 805, 818, 831, 858, 909, 916, 925, 949, 951",1004
Colorado,"303, 719, 720, 970",1005
Connecticut,"203, 475, 860, 959",1006
Delaware,302,1007
Florida,"239, 305, 321, 352, 386, 407, 561, 727, 754, 772, 786, 813, 850, 863, 904, 941, 954",1008
Georgia,"229, 404, 470, 478, 678, 706, 762, 770, 912",1009
Hawaii,808,1010
Idaho,"208, 986",1011
Illinois,"217, 224, 309, 312, 331, 618, 630, 708, 773, 779, 815, 847, 872",1012
Indiana,"219, 260, 317, 463, 574, 765, 812, 930",1013
Iowa,"319, 515, 563, 641, 712",1014
Kansas,"316, 620, 785, 913",1015
Kentucky,"270, 364, 502, 606, 859",1016
Louisiana,"225, 318, 337, 504, 985",1017
Maine,207,1018
Maryland,"240, 301, 410, 443, 667",1019
Massachusetts,"339, 351, 413, 508, 617, 774, 781, 857, 978",1020
Michigan,"231, 248, 269, 313, 517, 586, 616, 734, 810, 906, 947, 989",1021
Minnesota,"218, 320, 507, 612, 651, 763, 952",1022
Mississippi,"228, 601, 662, 769",1023
Missouri,"314, 417, 573, 636, 660, 816",1024
Montana,406,1025
Nebraska,"308, 402, 531",1026
Nevada,"702, 725, 775",1027
New Hampshire,603,1028
New Jersey,"201, 551, 609, 640, 732, 848, 856, 862, 908, 973",1029
New Mexico,"505, 575",1030
New York,"212, 315, 332, 347, 516, 518, 585, 607, 631, 646, 680, 716, 718, 838, 845, 914, 917, 929, 934",1031
North Carolina,"252, 336, 704, 743, 828, 910, 919, 980, 984",1032
North Dakota,701,1033
Ohio,"216, 220, 234, 330, 380, 419, 440, 513, 567, 614, 740, 937",1034
Oklahoma,"405, 539, 580, 918",1035
Oregon,"458, 503, 541, 971",1036
Pennsylvania,"215, 267, 272, 412, 445, 484, 570, 610, 717, 724, 814, 878",1037
Rhode Island,401,1038
South Carolina,"803, 843, 854, 864",1039
South Dakota,605,1040
Tennessee,"423, 615, 629, 731, 865, 901, 931",1041
Texas,"210, 214, 254, 281, 325, 346, 361, 409, 430, 432, 469, 512, 682, 713, 737, 806, 817, 830, 832, 903, 915, 936, 940, 956, 972, 979",1042
Utah,"385, 435, 801",1043
Vermont,802,1044
Virginia,"276, 434, 540, 571, 703, 757, 804",1045
Washington,"206, 253, 360, 425, 509, 564",1046
West Virginia,"304, 681",1047
Wisconsin,"262, 414, 534, 608, 715, 920",1048
Wyoming,307,1049
